alpha_U_inv,clock_high,clock_low,alpha1_inv_mz,alpha2_inv_mz,alpha3_inv_mz,alpha_em_inv_mz,sin2theta_hat_mz,alpha3_mz,z_alpha_em_inv_mz,z_sin2theta_hat_mz,z_alpha3_mz,chi2_3obs
46.5,6,13,58.99521543539651,29.58237421981022,8.47108345748888,127.9077332788044,0.2312790123121689,0.11804865399076522,-2.783340149450808,0.9835385361483169,0.3873933230724713,8.864404026394753
47.0,6,12,58.95194519907493,30.098259314439503,8.97108345748888,128.3515013128977,0.23449869309331567,0.11146925616495297,52.68766411221293,54.64488488859433,-6.923048705607809,5809.981997469314
46.0,6,14,58.98415864808594,29.068077634643863,7.971083457488884,127.3750087147871,0.22820864098806,0.12545346003879732,-69.37391065161336,-50.1893168656666,8.614955598663684,7405.924466507266
47.0,7,13,58.435838474569415,30.11335015433733,8.97108345748888,127.50641427861969,0.23617125714581988,0.11146925616495297,-52.94821517254,82.52095243033118,-6.923048705607809,9661.149683346795
46.5,6,14,59.48415864808594,29.568077634643863,8.471083457488884,128.70834204812044,0.22972930242228734,0.11804865399076517,97.2927560150545,-24.844959628544476,0.38739332307240965,10083.302465535688
46.0,5,13,59.67230094742661,29.0479565147801,7.971083457488879,128.5017914271578,0.22605098490977965,0.1254534600387974,71.47392839472388,-86.15025150367264,8.614955598663778,12604.605734287115
46.5,6,12,58.45194519907493,29.598259314439503,8.47108345748888,127.01816797956438,0.23302382474294142,0.11804865399076522,-113.97900255445315,30.063745715690203,0.3873933230724713,13895.19190335248
45.5,5,14,59.62502614436127,28.534718935922356,7.4710834574888825,127.90976250985781,0.2230847620698477,0.13384939489567843,-2.529686267774167,-135.58729883587176,17.943772106309368,18712.293875624524
47.5,7,12,58.36540472643175,30.630029503698076,9.471083457488884,127.90570404775099,0.23947352255895468,0.10558454103889134,-3.036994031127449,137.55870931591122,-13.461621067898513,19112.83708318015
45.5,5,13,59.17230094742661,28.5479565147801,7.471083457488879,127.16845809382446,0.22448928722338926,0.1338493948956785,-95.19273827194397,-112.1785462768458,17.94377210630943,21967.662621900425
47.5,7,13,58.935838474569415,30.61335015433733,9.47108345748888,128.83974761195302,0.23760796432588788,0.10558454103889138,113.71845149412607,106.46607209813114,-13.461621067898466,24448.12596000205
47.0,6,13,59.49521543539651,30.08237421981022,8.97108345748888,129.24106661213773,0.2327617297533586,0.11146925616495297,163.88332651721527,25.69549588930982,-6.923048705607809,27565.931822725946
46.0,6,13,58.49521543539651,29.08237421981022,7.971083457488881,126.57439994547107,0.22976505701262706,0.12545346003879737,-169.45000681611688,-24.249049789549133,8.614955598663746,29375.538685645042
46.0,5,14,60.12502614436127,29.034718935922356,7.9710834574888825,129.24309584319116,0.22465199201936306,0.12545346003879734,164.13698039889368,-109.46679967728245,8.614955598663716,38998.14602602004
47.0,7,12,57.86540472643175,30.130029503698076,8.971083457488884,126.57237071441767,0.23804586525190216,0.11146925616495293,-169.70366069779175,113.76442086503587,-6.923048705607856,41789.60451236846
46.5,7,13,57.935838474569415,29.61335015433733,8.47108345748888,126.17308094528636,0.23470418517543254,0.11804865399076522,-219.61488183920608,58.069752923875505,0.3873933230724713,51602.94260347516
47.5,6,12,59.45194519907493,30.598259314439503,9.47108345748888,129.68483464623105,0.2359432342101441,0.10558454103889138,219.35433077888078,78.72057016906815,-13.461621067898466,54494.46584096951
46.5,5,13,60.17230094742661,29.5479565147801,8.471083457488879,129.83512476049114,0.22758060709139896,0.11804865399076525,238.14059506139174,-60.656548476684115,0.3873933230725022,60390.30996288484
45.5,6,14,58.48415864808594,28.568077634643863,7.471083457488884,126.04167538145376,0.22665580688439085,0.1338493948956784,-236.0405773182812,-76.06988526015259,17.94377210630934,61823.76054164343
47.0,6,14,59.98415864808594,30.068077634643863,8.971083457488884,130.04167538145376,0.23121878079811406,0.11146925616495293,263.95942268171876,-0.02032003143248584,-6.923048705607856,69722.50583875016
46.0,6,12,57.95194519907493,29.098259314439503,7.971083457488881,125.68483464623105,0.23151766397547693,0.12545346003879737,-280.6456692211192,4.96106625794875,8.614955598663746,78860.82129095256
47.5,6,13,59.99521543539651,30.58237421981022,9.47108345748888,130.57439994547107,0.23421416627288094,0.10558454103889138,330.5499931838831,49.90277121468221,-13.461621067898466,111934.79981054575
45.5,6,13,57.99521543539651,28.58237421981022,7.471083457488881,125.24106661213774,0.22821886616733875,0.13384939489567846,-336.11667348278297,-50.01889721102104,17.9437721063094,115798.2872287416
46.5,5,14,60.62502614436127,29.534718935922356,8.471083457488882,130.57642917652447,0.22618721558080576,0.1180486539907652,330.803647065558,-83.87974031990412,0.3873933230724405,116467.01382159555
46.5,7,12,57.36540472643175,29.630029503698076,8.471083457488884,125.23903738108433,0.23658780938676627,0.11804865399076517,-336.37032736445957,89.46348977943765,0.38739332307240965,121148.863208376
46.0,7,13,57.435838474569415,29.11335015433733,7.971083457488881,124.83974761195302,0.2332057754941329,0.12545346003879737,-386.2815485058739,33.09625823554828,8.614955598663746,150383.01448525686
47.0,5,13,60.67230094742661,30.0479565147801,8.971083457488879,131.16845809382446,0.22907913191513524,0.11146925616495298,404.807261728056,-35.6811347477462,-6.923048705607794,165189.99112803387
47.5,6,14,60.48415864808594,30.568077634643863,9.471083457488884,131.3750087147871,0.23267802555207923,0.10558454103889134,430.62608934838664,24.300425867986956,-13.461621067898513,186210.55476662592
45.5,6,12,57.45194519907493,28.598259314439503,7.471083457488881,124.35150131289772,0.22997920421145163,0.13384939489567846,-447.3123358877853,-20.679929809139704,17.9437721063094,200837.96429170098
47.0,5,14,61.12502614436127,30.034718935922356,8.971083457488882,131.9097625098578,0.22769140330821092,0.11146925616495294,497.4703137322258,-58.80994486315155,-6.92304870560784,250983.25126302632
46.0,7,12,56.86540472643175,29.130029503698076,7.971083457488884,123.90570404775099,0.2350983736186342,0.12545346003879732,-503.03699403112745,64.63956031056983,8.614955598663684,257298.70758098332
45.5,7,13,56.935838474569415,28.61335015433733,7.471083457488881,123.50641427861969,0.23167501316804576,0.13384939489567846,-552.94821517254,7.583552800762468,17.9437721063094,306131.2178929827
47.5,5,13,61.17230094742661,30.5479565147801,9.471083457488879,132.5017914271578,0.23054749815645842,0.10558454103889141,571.4739283947239,-11.208364059026495,-13.461621067898434,326889.29350155336
47.5,5,14,61.62502614436127,30.534718935922356,9.471083457488882,133.24309584319116,0.22916548690716051,0.10558454103889137,664.1369803988937,-34.24188488065823,-13.46162106789848,442431.6506553164
45.5,7,12,56.36540472643175,28.630029503698076,7.471083457488884,122.57237071441767,0.2335765339025987,0.1338493948956784,-669.7036606977917,39.2755650433114,17.94377210630934,450367.54211889755
